Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
J7,Samtec_ASP-134486-01,Samtec_FMC_ASP-134486-01_10x40_P1.27mm_Vertical,131.074,-54.61,180,top
J8,Samtec_ASP-134486-01,Samtec_FMC_ASP-134486-01_10x40_P1.27mm_Vertical,209.69,-54.61,180,top
