Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
J1,Samtec_ASP-134488-01,ASP-134488-01,135.381,-92.71,0,bottom
J4,Samtec_ASP-134488-01,ASP-134488-01,205.383,-92.71,0,bottom
J7,Samtec_ASP-134486-01,ASP-134486-01,131.074,-54.61,180,top
J8,Samtec_ASP-134486-01,ASP-134486-01,209.69,-54.61,180,top
