Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
J1,Samtec_ASP-134488-01,ASP-134488-01,135.381,-92.71,0,bottom
J4,Samtec_ASP-134488-01,ASP-134488-01,205.383,-92.71,0,bottom
,,,,,,
,,,,,,
